EPISODE;REWARD
1;-0.11856203886653582
2;0.1807564253454883
3;-0.8602822706036096
4;0.2521641351824737
5;-0.18999498885920096
6;0.29071334412311467
7;0.1029524938029672
9;0.5501406805238729
10;0.41249549999388047
11;0.3907827983267925
12;0.2689231922417712
13;-0.0656227089039098
14;0.5167639688024666
15;0.3412805176089181
16;0.7956324977157375
17;0.5050499261382607
18;0.4979565027077554
19;-0.04872926260243538
21;0.5403548933164
23;0.3679046504283998
25;0.8700524713696729
27;0.8033038022993456
30;0.18930197562376683
