EPISODE;REWARD
1;-0.895321409980949
2;0.023024251539728757
3;0.1678729913459216
4;0.31106617458903285
5;-0.6399495832128975
6;-0.16105172602956366
7;0.5836150686430526
8;0.19491802003495529
9;0.07440056699769014
10;-0.8385397641465653
11;0.091260023654842
12;0.3375599201017927
13;-0.05212367446409163
14;-0.19646247405137915
15;0.34026297077811907
16;0.5782398271106902
17;0.6912511960298217
18;0.6303924023814016
19;0.3629602011776827
21;0.48435399654927125
23;0.2215459747124412
25;0.5999327467411011
27;0.631240420364672
30;0.7153540356138632
31;0.5666361096824969
