EPISODE;REWARD
1;0.1807904101446256
2;-0.12834830883402581
3;-1.0785362527318567
4;0.4495449535809426
5;-0.07572329115246192
6;0.6445428352814897
7;0.4197074481717117
9;0.1171973917219866
10;0.3211088485910333
11;0.9050313686773649
12;-0.1263766695841755
13;0.6778954577184914
14;0.04341094495908558
15;0.18069166039677928
16;0.8421080152456992
17;0.3608575575418683
18;0.8689326391581204
19;0.049054730083982756
21;0.2799450603599205
23;0.00835049672553231
25;0.27836697221866435
27;0.865101274828925
30;0.5417283288544812
