EPISODE;REWARD
1;-0.7449497437835315
2;-0.4637701582030127
3;0.30501427374887596
4;0.2792998756114146
5;0.29098981900224785
6;0.18779710536800856
7;-0.6946798480073042
9;0.003802880184815994
10;0.641753653236984
11;0.05761590596605415
12;0.13594132743253362
13;0.3928727112105781
14;-0.4549957856470641
15;-0.04525667703130344
16;0.4631930021917902
17;0.5116136697638611
18;0.06900886239603973
19;0.44788580835330716
21;0.9810237221416105
23;0.8668239779801259
25;0.3498486432710368
27;0.170961261635744
30;0.581684104009186
31;0.5672142229306247
