EPISODE;REWARD
1;-0.9639151132099741
2;0.31297404153609315
3;0.3239295979816863
4;0.30420460596793486
5;-0.6717759766466938
6;0.32955455801538536
7;0.4962533583760287
8;0.06671590700492024
9;0.38015417574742494
10;-0.9059477521130395
11;-0.2267824928980502
12;0.35627108809752706
13;0.1625056273597698
14;-0.2182419149041775
15;0.3537883694349977
16;0.3764621287067015
17;0.8060966402025015
18;0.6226321708453417
19;0.43802700371052694
21;0.6158034736729433
23;0.06683318417748461
25;0.5104102205235327
27;0.6783962291757324
30;0.7949295794774326
31;0.647198704637306
