EPISODE;REWARD
1;-0.08902097992152372
2;-0.4899616404218059
3;-0.27680717453345305
4;0.5478083799631995
5;-0.4862605134899809
6;0.5294356918739126
7;-0.17139892553142033
9;0.17585252171226595
10;0.41384378522588855
11;0.3712554140035368
12;0.21615163634244194
13;0.4711449710132297
14;-0.1876548577369006
15;0.20901096837592056
16;0.5968847618107564
17;0.030516923188434356
18;0.12919621250240232
19;0.8290160352523772
21;0.5885530500310285
23;0.5597254514545985
25;0.10524568620518401
27;0.9836405792661744
30;0.8322118187567116
31;0.9642363728080895
