EPISODE;REWARD
1;-0.9043375227983528
2;-0.8864662611670333
3;-0.06404022917397922
4;0.3106899704614505
5;0.5595459795256364
6;0.16613426350685345
7;-0.4828509998339925
9;0.4561449613276248
10;0.5836283868920299
11;-0.21049238176760476
12;-0.004351128084388858
13;0.07248905601939801
14;-0.45197331587673695
15;0.3573508984460718
16;0.2862274970885217
17;0.41239594072837993
18;0.07581625352499141
19;0.7015242104158581
21;0.6794962046347002
23;0.7006068530639107
25;0.03402419304113887
27;0.3155492973780133
30;0.8668854297701218
31;0.6549935120671246
