EPISODE;REWARD
1;0.1549499551796727
2;0.2892384944857941
3;-0.15941259786145645
4;-0.025543702411778956
5;-0.1362678376258362
6;0.05473253267548195
7;0.3419601328524229
9;0.09086981312347296
10;0.19347003484664047
11;0.3045193198041507
12;-0.22748123520567037
13;-0.21682614337040818
14;-0.022106514940164912
16;0.269356901761928
17;-0.13100685372292564
18;-0.03559988585065823
19;1.0291062130756146
21;0.5505115538341141
23;0.06276580497748382
25;0.13056279832166107
27;0.6706347680814964
30;0.9406379003074185
31;0.6438330725514663
