EPISODE;REWARD
1;0.39580434617644744
2;-0.6229175950721406
3;-0.4490122383776887
4;0.5602413420831793
5;-0.14093162971086137
6;0.595387200389255
7;-0.019736748369125756
9;-0.1688773200364999
10;0.2397502971426653
11;0.21523382757699794
12;-0.03157266157164953
13;0.43065375332001615
14;0.005114805435525006
15;0.7381229579307131
16;0.5875075608836022
17;-0.3108745986934969
18;0.13707254652446343
19;0.8023931480112276
21;0.3065259818655518
23;0.29498550726882355
25;0.49468831213359477
27;0.798496524404849
30;0.721478148328223
31;0.671598122480467
