EPISODE;REWARD
1;0.43415977949817774
2;-0.16643738620729653
3;-0.42540878892001843
4;0.06165319191058648
5;-0.25005734276011493
6;-0.18303653119865995
7;-0.2558089482530208
9;0.5515075614561139
10;0.4709645969853039
11;0.6153376017040305
12;0.14051168521531499
13;0.4728221573357022
14;-0.5073166302795286
15;0.34040597453120736
16;0.5611027992039785
17;0.09952516445017136
18;0.09931485138883064
19;0.4693264485226484
21;0.4899302407283197
23;0.3489296247080198
25;0.3657091923574846
27;0.5186405593188027
30;-0.1962871545354793
