EPISODE;REWARD
1;0.12318624459746519
2;-0.017142575811155858
3;-1.5270315519264612
4;0.08447145512327034
5;-0.1861855375459862
6;0.20090126498993177
7;0.20951506117035257
9;0.2569247461159885
10;0.47984861197437845
11;0.8928833487402053
12;0.29789797846664823
13;0.5439959770520678
14;-0.102355168430645
15;0.4905580637742325
16;0.3504733934352716
17;0.7773683417734144
18;0.4166958728918263
19;-0.16281094411169295
21;0.524019148976911
23;0.3043889187620237
25;0.25969322536498796
27;0.8846913272295212
30;0.25252758651619156
