EPISODE;REWARD
1;-0.6248321735799103
2;0.23311441960116608
3;0.09559046328336929
4;0.1008796753156198
5;-0.5801422336633932
6;-0.3880298739394594
7;0.7962422128435027
8;0.5416848951117464
9;0.19615156319170501
10;-0.38744381787924526
11;0.009512011227554192
12;0.29977020844719293
13;0.06091942383525681
14;-0.2720313292652404
15;0.32811690501382057
16;0.6462973328712565
17;0.5875399675335312
18;0.5431879274191393
19;0.35046354760461584
21;0.5196349567251267
23;0.46029601372450724
25;0.8544232893037067
27;0.47909846812087054
30;0.6285605393076097
31;0.6635910304756292
