EPISODE;REWARD
1;0.13543814223751338
2;-0.5095460837403816
3;-0.3961016627852529
4;0.41500750390879804
5;0.1606150726233531
6;0.4072742998295661
7;-0.32339801872818263
9;0.25321515917014525
10;0.06476214993570806
11;0.5138442011450967
12;0.11726324335741466
13;0.17432323677099015
14;0.3070944113884775
15;0.7220863468028074
16;0.36731514849354724
17;-0.4325088770310679
18;0.2634241807282459
19;0.41907099888751986
21;0.38572427575606894
23;0.10804434155466822
25;0.6670142224984865
27;0.5627108094093685
30;0.7184254514224887
31;0.630632208639169
